species,gene,pvalue
Arabidopsis,AT1G31860,0.0007092869
Arabidopsis,AT2G44410,0.0007121356
Arabidopsis,AT4G36700,0.0007121699
Arabidopsis,AT5G15860,0.0007143506
Arabidopsis,AT4G33760,0.0007165326
Arabidopsis,AT1G32172,0.0007234344
Arabidopsis,AT1G28700,0.0007244286
Arabidopsis,AT5G15470,0.0007277071
Arabidopsis,AT5G01540,0.0007279708
Arabidopsis,AT3G06560,0.0007292161
Arabidopsis,AT2G17723,0.0007294733
Arabidopsis,AT1G49910,0.0007321397
Arabidopsis,AT2G02710,0.0007324902
Arabidopsis,AT1G15470,0.0007330653
Arabidopsis,AT2G37620,0.0007335038
Arabidopsis,AT1G32150,0.0007342083
Arabidopsis,AT4G11521,0.0007354238
Arabidopsis,AT1G33960,0.0007356113
Arabidopsis,AT5G65730,0.0007372836
Arabidopsis,AT5G01880,0.0007397363
Arabidopsis,AT5G65840,0.0007413328
Arabidopsis,AT5G06640,0.0007422191
Arabidopsis,AT5G06660,0.0007422191
Arabidopsis,AT5G58090,0.000742772
Arabidopsis,AT5G65940,0.0007432915
Arabidopsis,AT5G15430,0.000744419
Arabidopsis,AT5G15450,0.000744419
Arabidopsis,AT1G04610,0.0007491763
Arabidopsis,AT2G21380,0.0007498809
Arabidopsis,AT1G14700,0.0007538733
Arabidopsis,AT1G14760,0.0007538733
Arabidopsis,AT3G07520,0.0007574676
Arabidopsis,AT2G14050,0.0007596138
Arabidopsis,AT5G63910,0.000759717
Arabidopsis,AT5G66160,0.0007634772
Arabidopsis,AT5G66180,0.0007634772
Arabidopsis,AT5G39260,0.0007648965
Arabidopsis,AT2G13370,0.0007668231
Arabidopsis,AT3G26819,0.0007670296
Arabidopsis,AT4G01850,0.0007719633
Arabidopsis,AT1G70160,0.000775097
Arabidopsis,AT5G04320,0.0007752506
Arabidopsis,AT4G09012,0.0007764478
Arabidopsis,AT1G16640,0.0007773389
Arabidopsis,AT5G16310,0.0007799109
Arabidopsis,AT2G40004,0.0007818478
Arabidopsis,AT4G20230,0.0007836912
Arabidopsis,AT1G47760,0.0007849984
Arabidopsis,AT1G59860,0.0007853069
Arabidopsis,AT4G22130,0.0007859003
Arabidopsis,AT4G17040,0.0007928891
Arabidopsis,AT5G57490,0.0007929036
Arabidopsis,AT1G36340,0.0007998602
Arabidopsis,AT3G14570,0.000801072
Arabidopsis,AT3G23850,0.0008075449
Arabidopsis,AT1G14400,0.0008085749
Arabidopsis,AT5G17420,0.000809051
Arabidopsis,AT1G14350,0.0008096004
Arabidopsis,AT5G16390,0.0008144291
Arabidopsis,AT5G16410,0.0008144291
Arabidopsis,AT2G07170,0.0008213866
Arabidopsis,AT1G16900,0.0008224256
Arabidopsis,AT5G65100,0.0008245807
Arabidopsis,AT1G59865,0.0008252932
Arabidopsis,AT4G21170,0.0008255354
Arabidopsis,AT5G10250,0.0008262382
Arabidopsis,AT5G12320,0.0008262968
Arabidopsis,AT2G16900,0.0008269811
Arabidopsis,AT2G02700,0.0008271807
Arabidopsis,AT4G37950,0.0008280305
Arabidopsis,AT5G16490,0.000828341
Arabidopsis,AT1G12810,0.0008348551
Arabidopsis,AT3G17740,0.0008378257
Arabidopsis,AT3G14070,0.0008392019
Arabidopsis,AT1G11740,0.0008402367
Arabidopsis,AT3G24310,0.000841541
Arabidopsis,AT5G66480,0.0008432699
Arabidopsis,AT1G34500,0.0008452215
Arabidopsis,AT4G39760,0.0008460037
Arabidopsis,AT4G00752,0.0008481065
Arabidopsis,AT2G26100,0.0008491342
Arabidopsis,AT5G61310,0.0008502114
Arabidopsis,AT5G16780,0.0008523938
Arabidopsis,AT3G17185,0.0008525588
Arabidopsis,AT2G30980,0.0008533348
Arabidopsis,AT3G17970,0.0008558116
Arabidopsis,AT3G02720,0.0008582584
Arabidopsis,AT4G00590,0.0008620933
Arabidopsis,AT4G00600,0.0008620933
Arabidopsis,AT3G53730,0.000866627
Arabidopsis,AT2G17540,0.0008707178
Arabidopsis,AT4G37160,0.0008710299
Arabidopsis,AT3G44690,0.0008722759
Arabidopsis,AT4G01890,0.0008744567
Arabidopsis,AT5G16650,0.0008768665
Arabidopsis,AT3G17770,0.0008800368
Arabidopsis,AT3G44130,0.0008893281
Arabidopsis,AT3G53830,0.0008929928
Arabidopsis,AT1G15540,0.0008935964
Arabidopsis,AT1G15550,0.0008935964
Arabidopsis,AT5G25570,0.0009009433
Arabidopsis,AT1G51860,0.0009027633
Arabidopsis,AT5G01310,0.000905096
