GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	upload_1 (10516)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of multicellular organismal process (GO:0051239)	523	236	200.18	+	1.18	1.25E-03
regulation of RNA biosynthetic process (GO:2001141)	2381	1074	911.32	+	1.18	1.13E-12
regulation of DNA-templated transcription (GO:0006355)	2381	1074	911.32	+	1.18	1.13E-12
response to endogenous stimulus (GO:0009719)	1731	779	662.54	+	1.18	4.02E-09
nucleobase-containing compound catabolic process (GO:0034655)	229	103	87.65	+	1.18	4.04E-02
regulation of gene expression (GO:0010468)	2993	1346	1145.56	+	1.17	2.40E-15
response to hormone (GO:0009725)	1730	778	662.15	+	1.17	4.65E-09
regulation of macromolecule biosynthetic process (GO:0010556)	3032	1362	1160.49	+	1.17	2.50E-15
regulation of reproductive process (GO:2000241)	334	150	127.84	+	1.17	1.27E-02
meristem development (GO:0048507)	265	119	101.43	+	1.17	3.06E-02
cellular response to endogenous stimulus (GO:0071495)	1036	465	396.53	+	1.17	1.06E-05
cellular response to hormone stimulus (GO:0032870)	1035	464	396.14	+	1.17	1.22E-05
carbohydrate biosynthetic process (GO:0016051)	328	147	125.54	+	1.17	1.63E-02
external encapsulating structure organization (GO:0045229)	699	313	267.54	+	1.17	3.85E-04
regulation of signal transduction (GO:0009966)	427	191	163.43	+	1.17	6.67E-03
regulation of RNA metabolic process (GO:0051252)	2507	1121	959.55	+	1.17	5.04E-12
response to bacterium (GO:0009617)	566	253	216.64	+	1.17	1.64E-03
cell division (GO:0051301)	405	181	155.01	+	1.17	8.55E-03
response to salt stress (GO:0009651)	488	218	186.78	+	1.17	3.57E-03
hormone-mediated signaling pathway (GO:0009755)	961	429	367.82	+	1.17	4.28E-05
regulation of cell communication (GO:0010646)	433	193	165.73	+	1.16	7.10E-03
regulation of nucleobase-containing compound metabolic process (GO:0019219)	2607	1162	997.82	+	1.16	5.54E-12
positive regulation of RNA biosynthetic process (GO:1902680)	555	247	212.43	+	1.16	2.67E-03
positive regulation of DNA-templated transcription (GO:0045893)	555	247	212.43	+	1.16	2.67E-03
regulation of macromolecule metabolic process (GO:0060255)	3212	1429	1229.39	+	1.16	2.19E-14
regulation of biosynthetic process (GO:0009889)	3162	1406	1210.25	+	1.16	4.22E-14
regulation of signaling (GO:0023051)	432	192	165.35	+	1.16	8.20E-03
negative regulation of metabolic process (GO:0009892)	777	345	297.4	+	1.16	4.27E-04
cytoskeleton organization (GO:0007010)	338	150	129.37	+	1.16	2.10E-02
cellular homeostasis (GO:0019725)	309	137	118.27	+	1.16	2.94E-02
reproductive structure development (GO:0048608)	1241	550	474.99	+	1.16	9.51E-06
chromatin organization (GO:0006325)	501	222	191.76	+	1.16	5.37E-03
negative regulation of biological process (GO:0048519)	1270	562	486.09	+	1.16	9.06E-06
reproductive system development (GO:0061458)	1243	550	475.76	+	1.16	1.11E-05
cell wall organization (GO:0071555)	642	284	245.72	+	1.16	1.79E-03
