,TN_maize,NHx_maize
SEEDGWAS1347:MRG:4:250105249,229,539.8900146
SEEDGWAS1348:MRG:4:250105250,273,539.8900146
SEEDGWAS1349:MRG:4:250105251,273,539.8900146
SEEDGWAS135:MRG:4:250056103,296,342.6799927
SEEDGWAS1350:MRG:4:250105252,372,539.8900146
SEEDGWAS1351:MRG:4:250105253,501,195.7400055
SEEDGWAS1352:MRG:4:250105254,501,195.7400055
SEEDGWAS1353:MRG:4:250105255,539,195.7400055
SEEDGWAS1355:MRG:4:250105256,507,539.8900146
SEEDGWAS1356:MRG:4:250105257,477,539.8900146
SEEDGWAS1357:MRG:4:250105258,467,195.7400055
SEEDGWAS1358:MRG:4:250105259,513,195.7400055
SEEDGWAS1359:MRG:4:250105260,513,195.7400055
SEEDGWAS136:MRG:4:250056104,617,10.93000031
SEEDGWAS1360:MRG:4:250105261,451,195.7400055
SEEDGWAS1361:MRG:4:250105262,305,247.5299988
SEEDGWAS1362:MRG:4:250105263,319,247.5299988
SEEDGWAS1363:MRG:4:250105264,414,247.5299988
SEEDGWAS1364:MRG:4:250105265,267,247.5299988
SEEDGWAS1365:MRG:4:250105266,424,247.5299988
SEEDGWAS1366:MRG:4:250105267,321,247.5299988
SEEDGWAS1367:MRG:4:250105268,267,247.5299988
SEEDGWAS1368:MRG:4:250105269,403,66.23000336
SEEDGWAS1369:MRG:4:250105270,361,66.23000336
SEEDGWAS137:MRG:4:250056105,550,141.6000061
SEEDGWAS1370:MRG:4:250105271,350,247.5299988
SEEDGWAS1371:MRG:4:250105272,258,247.5299988
SEEDGWAS1372:MRG:4:250105273,258,247.5299988
SEEDGWAS1373:MRG:4:250105275,417,342.6799927
SEEDGWAS1374:MRG:4:250105276,254,342.6799927
SEEDGWAS1375:MRG:4:250105277,307,342.6799927
SEEDGWAS1376:MRG:4:250105278,307,342.6799927
SEEDGWAS1381:MRG:4:250105283,681,88.51000214
SEEDGWAS1383:MRG:4:250105284,366,141.6000061
SEEDGWAS1386:MRG:4:250105287,477,216.75
SEEDGWAS1387:MRG:4:250105288,575,216.75
