,barley_PC1,barley_PC2,barley_PC3
BRIDGE_HOR_9697,0.371810958,2.021686367,-1.911374999
BRIDGE_HOR_9698,0.371810958,2.021686367,-1.911374999
BRIDGE_HOR_9699,0.371810958,2.021686367,-1.911374999
BRIDGE_HOR_9695,0.371810958,2.021686367,-1.911374999
BRIDGE_HOR_7337,0.545590311,1.607465352,-2.025493327
BRIDGE_HOR_7338,0.545590311,1.607465352,-2.025493327
BRIDGE_HOR_7339,0.545590311,1.607465352,-2.025493327
BRIDGE_HOR_7340,0.545590311,1.607465352,-2.025493327
BRIDGE_HOR_7341,0.545590311,1.607465352,-2.025493327
BRIDGE_HOR_7342,0.545590311,1.607465352,-2.025493327
BRIDGE_HOR_7343,0.545590311,1.607465352,-2.025493327
BRIDGE_HOR_7379,0.22689153,2.14641002,-1.836080151
BRIDGE_HOR_7380,0.22689153,2.14641002,-1.836080151
BRIDGE_HOR_7381,0.22689153,2.14641002,-1.836080151
BRIDGE_HOR_7376,0.391206795,2.622901917,-2.197831829
BRIDGE_HOR_7377,0.391206795,2.622901917,-2.197831829
BRIDGE_HOR_7378,0.391206795,2.622901917,-2.197831829
BRIDGE_HOR_7436,0.391206795,2.622901917,-2.197831829
BRIDGE_HOR_7437,0.391206795,2.622901917,-2.197831829
BRIDGE_HOR_7346,0.817362164,0.891382393,-1.615622398
BRIDGE_HOR_7373,0.391521062,3.156938035,-2.39514886
BRIDGE_HOR_7374,0.391521062,3.156938035,-2.39514886
BRIDGE_HOR_7375,0.391521062,3.156938035,-2.39514886
BRIDGE_HOR_7369,0.62011194,2.592752408,-2.203542058
BRIDGE_HOR_7347,0.880627242,1.386919119,-1.738985043
BRIDGE_HOR_7372,0.565664204,2.678538575,-1.869509953
BRIDGE_HOR_7349,0.889975362,0.087265936,-0.96592972
