,AT_PC1,AT_PC2,AT_PC3
8464,1.137119747,-1.178510788,3.146982983
8483,1.137119747,-1.178510788,3.146982983
8699,1.273913502,-1.116396926,3.23138438
8723,1.273913502,-1.116396926,3.23138438
9027,0.860454431,-1.106424525,2.359853388
9057,-0.351322916,-1.333786823,-1.734581369
9058,1.108353734,-0.780331374,-1.263271152
9067,-1.255561939,2.957697644,2.220691202
9069,-1.255561939,2.957697644,2.220691202
9070,-1.255561939,2.957697644,2.220691202
9075,0.316712121,2.701567384,0.736788497
9078,0.316712121,2.701567384,0.736788497
9079,0.316712121,2.701567384,0.736788497
9081,0.316712121,2.701567384,0.736788497
9084,0.316712121,2.701567384,0.736788497
9085,0.316712121,2.701567384,0.736788497
9089,-0.833951159,3.440819419,1.900562006
9091,-0.833951159,3.440819419,1.900562006
9095,0.031469829,3.457320875,1.483029365
9099,0.031469829,3.457320875,1.483029365
9100,1.331220497,1.407204391,2.200011221
9102,1.331220497,1.407204391,2.200011221
9103,1.331220497,1.407204391,2.200011221
9104,1.331220497,1.407204391,2.200011221
9105,1.331220497,1.407204391,2.200011221
9106,1.331220497,1.407204391,2.200011221
9111,1.331220497,1.407204391,2.200011221
9113,1.331220497,1.407204391,2.200011221
9114,1.331220497,1.407204391,2.200011221
