,maize_cec
SEEDGWAS1744:MRG:4:250062697,271
SEEDGWAS1749:MRG:4:250062702,245
SEEDGWAS1751:MRG:4:250062703,243
SEEDGWAS1752:MRG:4:250062704,229
SEEDGWAS1755:MRG:4:250062707,197
SEEDGWAS1756:MRG:4:250062708,197
SEEDGWAS1759:MRG:4:250062709,240
SEEDGWAS176:MRG:4:250056137,216
SEEDGWAS1760:MRG:4:250062710,209
SEEDGWAS1761:MRG:4:250062711,227
SEEDGWAS1766:MRG:4:250062717,167
SEEDGWAS1767:MRG:4:250062718,NA
SEEDGWAS1769:MRG:4:250062720,NA
SEEDGWAS177:MRG:4:250056138,300
SEEDGWAS1770:MRG:4:250062721,152
SEEDGWAS1771:MRG:4:250062722,303
SEEDGWAS1773:MRG:4:250062724,233
SEEDGWAS1775:MRG:4:250062726,286
SEEDGWAS1777:MRG:4:250062728,238
SEEDGWAS1778:MRG:4:250062730,268
SEEDGWAS1779:MRG:4:250062731,213
SEEDGWAS178:MRG:4:250056139,240
SEEDGWAS1781:MRG:4:250062764,209
SEEDGWAS1782:MRG:4:250062765,316
SEEDGWAS1783:MRG:4:250062766,262
SEEDGWAS1784:MRG:4:250062767,NA
SEEDGWAS1786:MRG:4:250062769,210
SEEDGWAS1788:MRG:4:250062770,179
SEEDGWAS1789:MRG:4:250062771,225
SEEDGWAS179:MRG:4:250056140,231
SEEDGWAS1790:MRG:4:250062772,154
SEEDGWAS1791:MRG:4:250062773,168
SEEDGWAS1792:MRG:4:250062774,194
SEEDGWAS1793:MRG:4:250062775,185
SEEDGWAS1794:MRG:4:250062776,257
SEEDGWAS1795:MRG:4:250062777,229
SEEDGWAS1796:MRG:4:250062778,291
SEEDGWAS1797:MRG:4:250062779,252
SEEDGWAS1798:MRG:4:250062780,261
SEEDGWAS1799:MRG:4:250062781,NA
SEEDGWAS180:MRG:4:250056141,127
SEEDGWAS1800:MRG:4:250062782,262
SEEDGWAS1802:MRG:4:250062783,NA
SEEDGWAS1803:MRG:4:250062784,198
SEEDGWAS1804:MRG:4:250062785,215
SEEDGWAS1806:MRG:4:250062787,203
SEEDGWAS1807:MRG:4:250062790,227
SEEDGWAS1809:MRG:4:250062791,192
SEEDGWAS1810:MRG:4:250062792,NA
SEEDGWAS1811:MRG:4:250062793,251
SEEDGWAS1812:MRG:4:250062794,200
SEEDGWAS1816:MRG:4:250062797,218
SEEDGWAS1818:MRG:4:250062798,214
SEEDGWAS1819:MRG:4:250062799,209
SEEDGWAS182:MRG:4:250056142,111
SEEDGWAS1820:MRG:4:250062800,209
SEEDGWAS1821:MRG:4:250062801,193
SEEDGWAS1822:MRG:4:250062802,202
SEEDGWAS1823:MRG:4:250062803,216
SEEDGWAS1825:MRG:4:250062805,247
SEEDGWAS1826:MRG:4:250062806,247
SEEDGWAS1827:MRG:4:250062807,247
SEEDGWAS1828:MRG:4:250062808,208
SEEDGWAS1829:MRG:4:250062809,208
SEEDGWAS183:MRG:4:250056143,186
SEEDGWAS1830:MRG:4:250062810,184
SEEDGWAS1831:MRG:4:250062812,218
SEEDGWAS1832:MRG:4:250062813,218
SEEDGWAS1833:MRG:4:250062814,218
SEEDGWAS1834:MRG:4:250062815,218
SEEDGWAS1835:MRG:4:250062816,218
SEEDGWAS1836:MRG:4:250062817,199
SEEDGWAS1837:MRG:4:250062818,237
SEEDGWAS1838:MRG:4:250062819,199
SEEDGWAS1839:MRG:4:250062820,219
SEEDGWAS1840:MRG:4:250063056,207
SEEDGWAS1841:MRG:4:250063057,190
SEEDGWAS1842:MRG:4:250063058,NA
SEEDGWAS1844:MRG:4:250063060,221
SEEDGWAS1845:MRG:4:250063061,221
SEEDGWAS1846:MRG:4:250063062,148
SEEDGWAS1847:MRG:4:250063063,NA
SEEDGWAS1848:MRG:4:250063064,276
SEEDGWAS185:MRG:4:250056144,172
SEEDGWAS1851:MRG:4:250063067,167
SEEDGWAS1852:MRG:4:250063068,191
SEEDGWAS1854:MRG:4:250063070,148
SEEDGWAS1855:MRG:4:250063071,167
SEEDGWAS1856:MRG:4:250063072,167
SEEDGWAS1857:MRG:4:250063073,175
SEEDGWAS1858:MRG:4:250063074,175
SEEDGWAS186:MRG:4:250056145,203
SEEDGWAS1864:MRG:4:250063079,167
SEEDGWAS1866:MRG:4:250063080,153
SEEDGWAS1867:MRG:4:250063081,153
SEEDGWAS1868:MRG:4:250063082,153
SEEDGWAS1869:MRG:4:250063083,178
